Title;State;VlogLink;Published
"Grippe, coronavirus, SRAS, etc. : les plantes peuvent-elles aider ?";"https://www.youtube.com/watch?v=l0LyTDMctnw";"il y a 2 ans";
"Gros thym (Plectranthus amboinicus) : puissant antiinfectieux, antiinflammatoire et antalgique";"https://www.youtube.com/watch?v=IYVAoEu-E7s";"il y a 2 ans";
"Gérer son stress avec les plantes";"https://www.youtube.com/watch?v=yOJKK6awlD0";"il y a 3 ans";
"Herboristes au Québec : entretien avec Anne Vastel";"https://www.youtube.com/watch?v=H5DTIYFLUpc";"il y a 5 ans";
"Hibiscus sabdariffa";"https://www.youtube.com/watch?v=GCtHMQCNOuE";"il y a 4 ans";
"Histoire de l'herboristerie française : interview de Ida Bost";"https://www.youtube.com/watch?v=i8NjtUr-APQ";"il y a 1 an";
"Histoire des plantes : Samuel Thomson";"https://www.youtube.com/watch?v=VCQ33ksR-TM";"il y a 1 an";
"Histoire des plantes épisode 1 : Hippocrate, Dioscoride, Gallien (période grecque et romaine)";"https://www.youtube.com/watch?v=KsmMhwRG_NM";"il y a 3 ans";
"Histoire des plantes épisode 10 Éclectiques et Physiomédicalistes";"https://www.youtube.com/watch?v=rU0sF_1TorY";"il y a 10 mois";
"Histoire des plantes épisode 2 : à l’époque des Celtes et des Gaulois";"https://www.youtube.com/watch?v=sdo5HwZfJW8";"il y a 3 ans";
"Histoire des plantes épisode 3 : monastères et influence Arabe";"https://www.youtube.com/watch?v=pbf1UErTCng";"il y a 3 ans";
"Histoire des plantes épisode 4 : peste et syphilis";"https://www.youtube.com/watch?v=dKpwR5zRs1s";"il y a 3 ans";
"Histoire des plantes épisode 5 : Paracelse le révolutionnaire";"https://www.youtube.com/watch?v=Vcr3RC0Z_xw";"il y a 3 ans";
"Histoire des plantes épisode 6 : galénistes contre paracelsiens";"https://www.youtube.com/watch?v=X58I7JaKk9w";"il y a 3 ans";
"Histoire des plantes épisode 7 : il était une fois en Amérique";"https://www.youtube.com/watch?v=Wz21eYBepOw";"il y a 2 ans";
"Huile de ricin : constipation, cataplasmes, santé des cheveux et des ongles";"https://www.youtube.com/watch?v=CysZe94dLB4";"il y a 3 ans";
"Hypothyroïdie, Hashimoto : quelles plantes utiliser ?";"https://www.youtube.com/watch?v=VZhh2AFx_oQ";"il y a 2 ans";
"Hélichryse (Helichrysum italicum) : ecchymoses, varicosités, protection de la peau";"https://www.youtube.com/watch?v=L38miXqSG0k";"il y a 3 ans";
"Inflammation chronique et aïgue : pourquoi faut-il connaître la différence ?";"https://www.youtube.com/watch?v=kajodERyZUs";"il y a 1 an";
"Interview France Charvin, syndicat SIMPLES, dossiers herboristerie en France";"https://www.youtube.com/watch?v=8kDbq7BKCP0";"il y a 6 mois";
"Interview avec Pascale Gélis Imbert au sujet de son nouveau livre";"https://www.youtube.com/watch?v=f6ADOc_jE-0";"il y a 5 ans";
"Interview avec Thierry Thévenin – état des lieux herboristerie en France";"https://www.youtube.com/watch?v=qyE6nBD83a0";"il y a 2 ans";
"Interview d'Elisabeth Champon, Centre de soins holistiques Vivre la Vie";"https://www.youtube.com/watch?v=5Gio-bVWlig";"il y a 2 ans";
